Year,APOclimate,1-sigma,APOobserved,1-sigma,Apoff,1-sigma,APOcant,1-sigma,APOAtmD,1-sigma
1991,0,0.00,0.0,0.0,0,0,0,0.00,0.00,0.00
1992,1.5,4.00,-6.8,4,-4,0.3,-4.9,0.10,0.50,0.30
1993,3.9,4.10,-12.9,4,-8,0.4,-9.7,0.30,0.80,0.40
1994,3.5,2.30,-22.3,2.2,-12.1,0.5,-14.8,0.40,1.10,0.50
1995,6.5,2.50,-28.4,2.3,-16.2,0.6,-20.1,0.50,1.30,0.70
1996,5.4,2.70,-39.0,2.5,-20.4,0.7,-25.50,0.70,1.60,0.80
1997,7.5,3.00,-46.1,2.7,-24.07,0.8,-30.80,0.90,1.90,0.90
1998,11.3,3.40,-52.4,2.9,-29,0.9,-36.80,1.10,2.10,1.10
1999,14.9,3.70,-58.7,3.2,-33.4,1.1,-42.60,1.20,2.40,1.20
2000,10,4.20,-73.4,3.6,-37.9,1.2,-48.20,1.40,2.70,1.30
2001,9.6,4.50,-83.9,3.9,-42.5,1.3,-54.00,1.60,2.90,1.50
2002,15.7,4.80,-87.9,4.1,-47.1,1.4,-59.80,1.70,3.20,1.60
2003,14,5.40,-100.4,4.5,-51.8,1.6,-66.10,1.90,3.50,1.70
2004,15.1,5.80,-110.2,4.9,-56.7,1.7,-72.40,2.00,3.70,1.90
2005,18.4,6.3,-117.8,5.2,-61.7,1.8,-78.60,2.30,4.00,2.00
2006,19.6,6.7,-127.9,5.6,-66.8,2,-85.10,2.40,4.30,2.10
2007,16.6,7.3,-142.1,6.1,-71.9,2.2,-91.60,2.60,4.50,2.30
2008,16.3,7.8,-153.9,6.5,-77.1,2.4,-98.10,2.90,4.80,2.40
2009,19.4,8.2,-162.0,6.8,-82.2,2.6,-104.50,3.00,5.10,2.50
2010,19.1,8.8,-174.3,7.2,-87.4,2.8,-111.50,3.20,5.40,2.70
2011,19.7,9.3,-185.4,7.6,-92.7,3,-118.30,3.40,5.60,2.80
2012,20.9,9.8,-196.2,8.1,-98.1,3.2,-125.10,3.50,5.90,3.00
2013,18.8,10.5,-210.3,8.6,-103.4,3.4,-132.10,3.80,6.20,3.10
2014,22.9,11,-218.7,9,-108.7,3.6,-139.50,3.90,6.50,3.20
2015,22.9,11.5,-231.1,9.5,-114.2,3.8,-146.70,4.20,6.70,3.40
2016,23.2,12.2,-243.7,10.1,-119.7,4,-154.30,4.20,7.00,3.50
